Designator,Mid X,Mid Y,Rotation,Layer
A1,56.655,-16.68,90.0,top
SW1,38.1,-38.1,0.0,bottom
SW10,209.55,-38.1,0.0,bottom
SW11,228.6,-38.1,0.0,bottom
SW12,247.65,-38.1,0.0,bottom
SW13,266.7,-38.1,0.0,bottom
SW14,295.275,-38.1,0.0,bottom
SW15,42.8625,-57.15,0.0,bottom
SW16,66.675,-57.15,0.0,bottom
SW17,85.725,-57.15,0.0,bottom
SW18,104.775,-57.15,0.0,bottom
SW19,123.825,-57.15,0.0,bottom
SW2,57.15,-38.1,0.0,bottom
SW20,142.875,-57.15,0.0,bottom
SW21,161.925,-57.15,0.0,bottom
SW22,180.975,-57.15,0.0,bottom
SW23,200.025,-57.15,0.0,bottom
SW24,219.075,-57.15,0.0,bottom
SW25,238.125,-57.15,0.0,bottom
SW26,257.175,-57.15,0.0,bottom
SW27,276.225,-57.15,0.0,bottom
SW28,300.0375,-57.15,0.0,bottom
SW29,45.24375,-76.2,0.0,bottom
SW3,76.2,-38.1,0.0,bottom
SW30,71.4375,-76.2,0.0,bottom
SW31,90.4875,-76.2,0.0,bottom
SW32,109.5375,-76.2,0.0,bottom
SW33,128.5875,-76.2,0.0,bottom
SW34,147.6375,-76.2,0.0,bottom
SW35,166.6875,-76.2,0.0,bottom
SW36,185.7375,-76.2,0.0,bottom
SW37,204.7875,-76.2,0.0,bottom
SW38,223.8375,-76.2,0.0,bottom
SW39,242.8875,-76.2,0.0,bottom
SW4,95.25,-38.1,0.0,bottom
SW40,261.9375,-76.2,0.0,bottom
SW41,292.89375,-76.2,0.0,bottom
SW42,50.00625,-95.25,0.0,bottom
SW43,80.9625,-95.25,0.0,bottom
SW44,100.0125,-95.25,0.0,bottom
SW45,119.0625,-95.25,0.0,bottom
SW46,138.1125,-95.25,0.0,bottom
SW47,157.1625,-95.25,0.0,bottom
SW48,176.2125,-95.25,0.0,bottom
SW49,195.2625,-95.25,0.0,bottom
SW5,114.3,-38.1,0.0,bottom
SW50,214.3125,-95.25,0.0,bottom
SW51,233.3625,-95.25,0.0,bottom
SW52,252.4125,-95.25,0.0,bottom
SW53,288.13125,-95.25,0.0,bottom
SW54,40.48125,-114.3,0.0,bottom
SW55,64.29375,-114.3,0.0,bottom
SW56,88.10625,-114.3,0.0,bottom
SW57,159.54375,-114.3,0.0,bottom
SW58,230.98125,-114.3,0.0,bottom
SW59,254.79375,-114.3,0.0,bottom
SW6,133.35,-38.1,0.0,bottom
SW60,278.60625,-114.3,0.0,bottom
SW61,302.41875,-114.3,0.0,bottom
SW7,152.4,-38.1,0.0,bottom
SW8,171.45,-38.1,0.0,bottom
SW9,190.5,-38.1,0.0,bottom
U1,122.695,-115.51,0.0,bottom
U2,141.705,-115.91,0.0,bottom
U3,196.655,-115.15,0.0,bottom
U4,177.715,-114.89,0.0,bottom
